half-seas-over.s.01,British informal for `intoxicated'
lacertid_lizard.n.01,Old World terrestrial lizard
chamaeleontidae.n.01,Old World chameleons; in some classifications they are considered a superfamily of Sauria
ceratopsidae.n.01,American ceratopsian dinosaurs
opheodrys.n.01,North American green snakes
chlorophis.n.01,African green snakes
elaphe.n.01,North American rat snakes
ptyas.n.01,Asian rat snakes
nerodia.n.01,North American water snakes
pythoninae.n.01,Old World boas: pythons; in some classifications considered a separate family from Boidae
genus_python.n.01,Old World boas
carpet_snake.n.01,Australian python with a variegated pattern on its back
calliophis.n.01,Asian coral snakes
aspidelaps.n.01,African coral snakes
rhynchoelaps.n.01,Australian coral snakes
acanthophis.n.01,Australian elapid snakes
viperidae.n.01,Old World vipers
crotalidae.n.01,New World vipers: pit vipers
pit_viper.n.01,New World vipers with hollow fangs and a heat-sensitive pit on each side of the head
trap-door_spider.n.01,American spider that constructs a silk-lined nest with a hinged lid
cornish.n.02,English breed of compact domestic fowl; raised primarily to crossbreed to produce roasters
cochin.n.01,Asian breed of large fowl with dense plumage and feathered legs
rhode_island_red.n.01,American breed of heavy-bodied brownish-red general-purpose chicken
dominique.n.01,American breed of chicken having barred grey plumage raised for meat and brown eggs
orpington.n.01,English breed of large chickens with white skin
spruce_grouse.n.01,North American grouse that feeds on evergreen buds and needles
mallee_fowl.n.01,Australian mound bird; incubates eggs naturally in sandy mounds
maleo.n.01,Celebes megapode that lays eggs in holes in sandy beaches
genus_afropavo.n.01,Congo peafowl
colinus.n.01,New World quail: the bobwhites
coturnix.n.01,Old World quail
lofortyx.n.01,California quail
perdicidae.n.01,Old World partridges
mountain_quail.n.01,California partridge; slightly larger than the California quail
wood_pigeon.n.01,Eurasian pigeon with white patches on wings and neck
pallas's_sandgrouse.n.01,Eurasiatic sandgrouse with a black patch on the belly
ring-necked_parakeet.n.01,African parakeet
black-billed_cuckoo.n.01,North American cuckoo; builds a nest and rears its own young
coucal.n.01,Old World ground-living cuckoo having a long dagger-like hind claw
pheasant_coucal.n.01,Australian bird with a tail like a pheasant
roller.n.06,Old World bird that tumbles or rolls in flight; related to kingfishers
ground_roller.n.01,Madagascan roller with terrestrial and crepuscular habits that feeds on e.g. insects and worms
dacelo.n.01,Australasian kingfishers
kookaburra.n.01,Australian kingfisher having a loud cackling cry
chimney_swift.n.01,American swift that nests in e.g. unused chimneys
european_goatsucker.n.01,Old World goatsucker
whippoorwill.n.01,American nocturnal goatsucker with grey-and-white plumage
flicker.n.02,North American woodpecker
