half-seas-over.s.01,British informal for `intoxicated'
day.n.10,United States writer best known for his autobiographical works (1874-1935)
dayan.n.01,Israeli general and statesman (1915-1981)
dean.n.02,United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
de_bakey.n.01,United States heart surgeon who in 1966 implanted the first artificial heart in a human patient (born in 1908)
debs.n.01,United States labor organizer who ran for President as a socialist (1855-1926)
debussy.n.01,French composer who is said to have created Impressionism in music (1862-1918)
decatur.n.01,United States naval officer remembered for his heroic deeds (1779-1820)
decius.n.01,Emperor of Rome who was proclaimed emperor against his will; his reign was notable for his severe persecution of Christians (201-251)
deere.n.01,United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886)
defoe.n.01,English writer remembered particularly for his novel about Robinson Crusoe (1660-1731)
de_forest.n.01,"United States electrical engineer who in 1907 patented the first triode vacuum tube, which made it possible to detect and amplify radio waves (1873-1961)"
degas.n.01,French impressionist painter (1834-1917)
de_gaulle.n.01,French general and statesman who became very popular during World War II as the leader of the Free French forces in exile (1890-1970)
dekker.n.01,English dramatist and pamphleteer (1572-1632)
de_kooning.n.01,United States painter (born in the Netherlands) who was a leading American exponent of abstract expressionism (1904-1997)
delacroix.n.01,French romantic painter (1798-1863)
de_la_mare.n.01,English poet remembered for his verse for children (1873-1956)
delbruck.n.01,United States biologist (born in Germany) who studied how viruses infect living cells (1906-1981)
delibes.n.01,French composer of operas (1836-1891)
delius.n.01,English composer of orchestral works (1862-1934)
delorme.n.01,French royal architect who built the Tuileries Palace and Gardens in Paris for Catherine de Medicis (1515-1570)
de_mille.n.01,United States dancer and choreographer who introduced formal dance to a wide audience (1905-1993)
demille.n.01,United States film maker remembered for his extravagant and spectacular epic productions (1881-1959)
democritus.n.01,Greek philosopher who developed an atomistic theory of matter (460-370 BC)
demosthenes.n.01,Athenian statesman and orator (circa 385-322 BC)
dempsey.n.01,United States prizefighter who was world heavyweight champion (1895-1983)
deng_xiaoping.n.01,Chinese communist statesman (1904-1997)
de_niro.n.01,United States film actor who frequently plays tough characters (born 1943)
depardieu.n.01,French film actor (born in 1948)
de_quincey.n.01,English writer who described the psychological effects of addiction to opium (1785-1859)
derain.n.01,French painter and exponent of fauvism (1880-1954)
derrida.n.01,French philosopher and critic (born in Algeria); exponent of deconstructionism (1930-2004)
de_saussure.n.01,Swiss linguist and expert in historical linguistics whose lectures laid the foundations for synchronic linguistics (1857-1913)
descartes.n.01,French philosopher and mathematician; developed dualistic theory of mind and matter; introduced the use of coordinates to locate a point in two or three dimensions (1596-1650)
de_sica.n.01,Italian film maker (1901-1974)
de_valera.n.01,Irish statesman (born in the United States); as president of the Irish Free State he was responsible for the new constitution of 1937 that created the state of Eire (1882-1975)
devries.n.01,Dutch botanist who rediscovered Mendel's laws and developed the mutation theory of evolution (1848-1935)
dewar.n.02,Scottish chemist and physicist noted for his work in cryogenics and his invention of the Dewar flask (1842-1923)
dewey.n.03,United States pragmatic philosopher who advocated progressive education (1859-1952)
dewey.n.01,United States librarian who founded the decimal system of classification (1851-1931)
diaghilev.n.01,Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)
diana.n.01,English aristocrat who was the first wife of Prince Charles; her death in an automobile accident in Paris produced intense national mourning (1961-1997)
diane_de_poitiers.n.01,French noblewoman who was the mistress of Henry II; she had more influence over him than did his wife Catherine de Medicis (1499-1566)
dias.n.01,Portuguese explorer who in 1488 was the first European to get round the Cape of Good Hope (thus establishing a sea route from the Atlantic to Asia) (1450-1500)
dickens.n.02,English writer whose novels depicted and criticized social injustice (1812-1870)
dickinson.n.01,United States poet noted for her mystical and unrhymed poems (1830-1886)
diderot.n.01,French philosopher who was a leading figure of the Enlightenment in France; principal editor of an encyclopedia that disseminated the scientific and philosophical knowledge of the time (1713-1784)
didion.n.01,United States writer (born in 1934)
diesel.n.01,German engineer (born in France) who invented the diesel engine (1858-1913)
dietrich.n.01,United States film actress (born in Germany) who made many films with Josef von Sternberg and later was a successful cabaret star (1901-1992)
dimaggio.n.01,United States professional baseball player noted for his batting ability (1914-1999)
dinesen.n.01,Danish writer who lived in Kenya for 19 years and is remembered for her writings about Africa (1885-1962)
diocletian.n.01,Roman Emperor who when faced with military problems decided in 286 to divide the Roman Empire between himself in the east and Maximian in the west; he initiated the last persecution of the Christians in 303 (245-313)
diophantus.n.01,Greek mathematician who was the first to try to develop an algebraic notation (3rd century)
dior.n.01,French couturier whose first collection in 1947 created a style that became known as the New Look (1905-1957)
dirac.n.01,English theoretical physicist who applied relativity theory to quantum mechanics and predicted the existence of antimatter and the positron (1902-1984)
disney.n.01,United States film maker who pioneered animated cartoons and created such characters as Mickey Mouse and Donald Duck; founded Disneyland (1901-1966)
disraeli.n.01,British statesman who as Prime Minister bought controlling interest in the Suez Canal and made Queen Victoria the empress of India (1804-1881)
dix.n.01,United States social reformer who pioneered in the reform of prisons and in the treatment of the mentally ill; superintended women army nurses during the American Civil War (1802-1887)
doctorow.n.01,United States novelist (born in 1931)
dolby.n.01,United States electrical engineer who devised the Dolby system used to reduce background noise in tape recording
domingo.n.01,Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)
domino.n.01,United States rhythm and blues pianist and singer and composer (born in 1928)
domitian.n.01,Emperor of Rome; son of Vespasian who succeeded his brother Titus; instigated a reign of terror and was assassinated as a tyrant (51-96)
donatello.n.01,Florentine sculptor famous for his lifelike sculptures (1386-1466)
donatus.n.01,Roman grammarian whose textbook on Latin grammar was used throughout the Middle Ages (fourth century)
donizetti.n.01,Italian composer of operas (1797-1848)
donkin.n.01,English engineer who developed a method of preserving food by sterilizing it with heat and sealing it inside a steel container--the first tin can (1768-1855)
donne.n.01,English clergyman and metaphysical poet celebrated as a preacher (1572-1631)
doolittle.n.01,United States Air Force officer who electrified the world in 1942 by leading a squadron of 16 bombers on a daylight raid over Tokyo (1896-1993)
doppler.n.01,Austrian physicist famous for his discovery of the Doppler effect (1803-1853)
dos_passos.n.01,United States novelist remembered for his portrayal of life in the United States (1896-1970)
dostoyevsky.n.01,Russian novelist who wrote of human suffering with humor and psychological insight (1821-1881)
douglas.n.01,United States politician who proposed that individual territories be allowed to decide whether they would have slavery; he engaged in a famous series of debates with Abraham Lincoln (1813-1861)
douglass.n.01,United States abolitionist who escaped from slavery and became an influential writer and lecturer in the North (1817-1895)
dowding.n.01,British marshal of the RAF who commanded the British air defense forces that defeated the Luftwaffe during the Battle of Britain (1882-1970)
dowland.n.01,English lutenist and composer of songs for the lute (1563-1626)
down.n.03,English physician who first described Down's syndrome (1828-1896)
downing.n.01,United States landscape architect who designed the grounds of the White House and the Capitol Building (1815-1852)
d'oyly_carte.n.01,English impresario who brought Gilbert and Sullivan together and produced many of their operettas in London (1844-1901)
draco.n.01,Athenian lawmaker whose code of laws prescribed death for almost every offense (circa 7th century BC)
drake.n.01,English explorer and admiral who was the first Englishman to circumnavigate the globe and who helped to defeat the Spanish Armada (1540-1596)
dreiser.n.01,United States novelist (1871-1945)
drew.n.01,United States actor (born in Ireland); father of Georgiana Emma Barrymore (1827-1862)
dreyfus.n.01,French army officer of Jewish descent whose false imprisonment for treason in 1894 raised issues of anti-Semitism that dominated French politics until his release in 1906 (1859-1935)
du_bois.n.01,United States civil rights leader and political activist who campaigned for equality for Black Americans (1868-1963)
duchamp.n.01,French artist who immigrated to the United States; a leader in the dada movement in New York City; was first to exhibit commonplace objects as art (1887-1968)
dufy.n.01,French painter noted for brightly colored scenes (1877-1953)
dukas.n.01,French composer (1865-1935)
dulles.n.01,United States diplomat who (as Secretary of State) pursued a policy of opposition to the USSR by providing aid to American allies (1888-1959)
dumas.n.01,French writer remembered for his swashbuckling historical tales (1802-1870)
du_maurier.n.02,English writer and illustrator; grandfather of Daphne du Maurier (1834-1896)
du_maurier.n.01,English writer of melodramatic novels (1907-1989)
duncan.n.01,United States dancer and pioneer of modern dance (1878-1927)
duns_scotus.n.01,Scottish theologian who was very influential in the Middle Ages (1265-1308)
durant.n.01,United States historian (1885-1981)
durante.n.01,United States comedian remembered for his large nose and hoarse voice (1893-1980)
durkheim.n.01,French sociologist and first professor of sociology at the Sorbonne (1858-1917)
durrell.n.01,English writer of Irish descent who spent much of his life in Mediterranean regions (1912-1990)
duse.n.01,Italian actress best known for her performances in tragic roles (1858-1924)
dvorak.n.01,Czech composer who combined folk elements with traditional forms (1841-1904)
dylan.n.01,United States songwriter noted for his protest songs (born in 1941)
eames.n.01,United States designer noted for an innovative series of chairs (1907-1978)
eastman.n.01,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932)
eccles.n.01,Australian physiologist noted for his research on the conduction of impulses by nerve cells (1903-1997)
eckhart.n.01,German Roman Catholic theologian and mystic (1260-1327)
eddington.n.01,English astronomer remembered for his popular elucidation of relativity theory (1882-1944)
ederle.n.01,United States swimmer who in 1926 became the first woman to swim the English Channel (1906-2003)
edison.n.01,United States inventor; inventions included the phonograph and incandescent electric light and the microphone and the Kinetoscope (1847-1931)
edward.n.08,King of England from 1272 to 1307; conquered Wales (1239-1307)
edward.n.07,King of England from 1307 to 1327 and son of Edward I; was defeated at Bannockburn by the Scots led by Robert the Bruce; was deposed and died in prison (1284-1327)
edward.n.05,King of England from 1461 to 1470 and from 1471 to 1483; was dethroned in 1470 but regained the throne in 1471 by his victory at the battle of Tewkesbury (1442-1483)
edward.n.04,King of England who was crowned at the age of 13 on the death of his father Edward IV but was immediately confined to the Tower of London where he and his younger brother were murdered (1470-1483)
edward.n.03,King of England and Ireland from 1547 to 1553; son of Henry VIII and Jane Seymour; died of tuberculosis (1537-1553)
edward.n.02,King of England from 1901 to 1910; son of Victoria and Prince Albert; famous for his elegant sporting ways (1841-1910)
edward.n.01,King of England and Ireland in 1936; his marriage to Wallis Warfield Simpson created a constitutional crisis leading to his abdication (1894-1972)
edwards.n.01,American theologian whose sermons and writings stimulated a period of renewed interest in religion in America (1703-1758)
edward_the_martyr.n.01,King of England who was a son of Edgar; he was challenged for the throne by supporters of his half-brother Ethelred II who eventually murdered him (963-978)
edwy.n.01,King of England who was renounced by Northumbria in favor of his brother Edgar (died in 959)
eglevsky.n.01,United States ballet dancer (born in Russia) (1917-1977)
ehrenberg.n.01,Russian novelist (1891-1967)
ehrlich.n.01,German bacteriologist who found a `magic bullet' to cure syphilis and was a pioneer in the study of immunology (1854-1915)
eichmann.n.01,Austrian who became the Nazi official who administered the concentration camps where millions of Jews were murdered during World War II (1906-1962)
eiffel.n.01,French engineer who constructed the Eiffel Tower (1832-1923)
eigen.n.01,German chemist who did research on high-speed chemical reactions (born in 1927)
eijkman.n.01,Dutch physician who discovered that beriberi is caused by a nutritional deficiency (1858-1930)
einthoven.n.01,Dutch physiologist who devised the first electrocardiograph (1860-1927)
eisenhower.n.01,United States general who supervised the invasion of Normandy and the defeat of Nazi Germany; 34th President of the United States (1890-1961)
eisenstaedt.n.01,United States photographer (born in Germany) whose unposed documentary photographs created photojournalism (born in 1898)
eisenstein.n.01,Russian film maker who pioneered the use of montage and is considered among the most influential film makers in the history of motion pictures (1898-1948)
ekman.n.01,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954)
elgar.n.01,British composer of choral and orchestral works including two symphonies as well as songs and chamber music and music for brass band (1857-1934)
el_greco.n.01,Spanish painter (born in Greece) remembered for his religious works characterized by elongated human forms and dramatic use of color (1541-1614)
eliot.n.02,British writer of novels characterized by realistic analysis of provincial Victorian society (1819-1880)
eliot.n.01,British poet (born in the United States) who won the Nobel prize for literature; his plays are outstanding examples of modern verse drama (1888-1965)
elizabeth.n.02,Queen of England from 1558 to 1603; daughter of Henry VIII and Anne Boleyn; she succeeded Mary I (who was a Catholic) and restored Protestantism to England; during her reign Mary Queen of Scots was executed and the Spanish Armada was defeated; her reign was marked by prosperity and literary genius (1533-1603)
ellington.n.01,United States jazz composer and piano player and bandleader (1899-1974)
ellison.n.01,United States novelist who wrote about a young Black man and his struggles in American society (1914-1994)
ellsworth.n.01,United States jurist and the third chief justice of the United States Supreme Court (1745-1807)
emerson.n.01,United States writer and leading exponent of transcendentalism (1803-1882)
empedocles.n.01,Greek philosopher who taught that all matter is composed of particles of fire and water and air and earth (fifth century BC)
enesco.n.01,Romanian violinist and composer (1881-1955)
epictetus.n.01,Greek philosopher who was a Stoic (circa 50-130)
epicurus.n.01,Greek philosopher who believed that the world is a random combination of atoms and that pleasure is the highest good (341-270 BC)
epstein.n.01,British sculptor (born in the United States) noted for busts and large controversial works (1880-1959)
erasmus.n.01,"Dutch humanist and theologian who was the leading Renaissance scholar of northern Europe; although his criticisms of the Roman Catholic Church led to the Reformation, he opposed violence and condemned Martin Luther (1466-1536)"
eratosthenes.n.01,Greek mathematician and astronomer who estimated the circumference of the earth and the distances to the Moon and sun (276-194 BC)
erlenmeyer.n.01,German chemist (1825-1909)
erving.n.01,United States basketball forward (born in 1950)
ethelbert.n.01,Anglo-Saxon king of Kent who was converted to Christianity by Saint Augustine; codified English law (552-616)
euclid.n.01,Greek geometer (3rd century BC)
eugene.n.01,Austrian general in the service of the Holy Roman Empire during the War of the Spanish Succession (1663-1736)
euler.n.01,Swiss mathematician (1707-1783)
eusebius.n.01,Christian bishop of Caesarea in Palestine; a church historian and a leading early Christian exegete (circa 270-340)
eustachio.n.01,Italian anatomist who was one of the fathers of modern anatomy; noted for descriptions of the ear and the heart (1520-1574)
evans.n.02,British archaeologist who excavated the palace of Knossos in Crete to find what he called Minoan civilization (1851-1941)
evans.n.01,United States anatomist who identified four pituitary hormones and discovered vitamin E (1882-1971)
evers.n.01,United States civil rights worker in Mississippi; was killed by a sniper (1925-1963)
evert.n.01,United States tennis player who won women's singles titles in the United States and at Wimbledon (born in 1954)
eyck.n.01,Flemish painter who was a founder of the Flemish school of painting and who pioneered modern techniques of oil painting (1390-1441)
faberge.n.01,Russian goldsmith noted for creating a series of jeweled and enameled Easter eggs for European royalty (1846-1920)
fahrenheit.n.01,German physicist who invented the mercury thermometer and developed the scale of temperature that bears his name (1686-1736)
fairbanks.n.02,United States film actor noted for his swashbuckling roles (1883-1939)
fairbanks.n.01,"United States film actor; son of Douglas Elton Fairbanks, (1909-2000)"
falla.n.01,Spanish composer and pianist (1876-1946)
fallopius.n.01,Italian anatomist who first described the Fallopian tubes (1523-1562)
fallot.n.01,French physician who described cardiac anomalies including Fallot's tetralogy (1850-1911)
farmer.n.02,United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)
farragut.n.01,United States admiral who commanded Union ships during the American Civil War (1801-1870)
farrell.n.02,United States operatic soprano noted for the clarity and power of her voice (1920-2002)
farrell.n.01,United States writer remembered for his novels (1904-1979)
faulkner.n.01,United States novelist (originally Falkner) who wrote about people in the southern United States (1897-1962)
fawkes.n.01,English conspirator who was executed for his role in a plot to blow up James I and the Houses of Parliament (1570-1606)
fechner.n.01,German physicist who founded psychophysics; derived Fechner's law on the basis of early work by E. H. Weber (1801-1887)
feifer.n.01,United States cartoonist who created a sarcastic comic strip (born in 1929)
fellini.n.01,Italian filmmaker (1920-1993)
ferber.n.01,United States novelist; author of several popular novels (1887-1968)
ferdinand_i.n.01,Holy Roman Emperor and king of Hungary and Bohemia (1503-1564)
ferdinand_ii.n.01,Holy Roman Emperor and king of Bohemia and Hungary who waged war against Protestant forces (1578-1637)
ferdinand_iii.n.01,Holy Roman Emperor and king of Hungary and Bohemia who signed the Peace of Westphalia ending the Thirty Years' War (1608-1657)
fermat.n.01,French mathematician who founded number theory; contributed (with Pascal) to the theory of probability (1601-1665)
fermi.n.02,Italian nuclear physicist (in the United States after 1939) who worked on artificial radioactivity caused by neutron bombardment and who headed the group that in 1942 produced the first controlled nuclear reaction (1901-1954)
feynman.n.01,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988)
fielding.n.02,English novelist and dramatist (1707-1754)
fields.n.01,United States comedian and film actor (1880-1946)
firth.n.01,English linguist who contributed to linguistic semantics and to prosodic phonology and who was noted for his insistence on studying both sound and meaning in context (1890-1960)
fischer.n.03,United States chess master; world champion from 1972 to 1975 (born in 1943)
fischer.n.02,German chemist noted for work on synthetic sugars and the purines (1852-1919)
fischer.n.01,German chemist noted for his synthesis of hemin (1881-1945)
fitzgerald.n.03,United States scat singer (1917-1996)
fitzgerald.n.02,United States author whose novels characterized the Jazz Age in the United States (1896-1940)
fitzgerald.n.01,English poet remembered primarily for his free translation of the poetry of Omar Khayyam (1809-1883)
flaminius.n.01,Roman statesman and general who built the Flaminian Way; died when he was defeated by Hannibal (died 217 BC)
flaubert.n.01,French writer of novels and short stories (1821-1880)
fleming.n.02,Scottish bacteriologist who discovered penicillin (1881-1955)
fleming.n.01,British writer famous for writing spy novels about secret agent James Bond (1908-1964)
flinders.n.01,British explorer who mapped the Australian coast (1774-1814)
florey.n.01,"British pathologist who isolated and purified penicillin, which had been discovered in 1928 by Sir Alexander Fleming (1898-1968)"
florio.n.01,English lexicographer remembered for his Italian and English dictionary (1553-1625)
flory.n.01,United States chemist who developed methods for studying long-chain molecules (1910-1985)
fonda.n.02,United States film actor (1905-1982)
fonda.n.01,United States film actress and daughter of Henry Fonda (born in 1937)
fontanne.n.01,United States actress (born in England) who married Alfred Lunt and performed with him in many plays (1887-1983)
fonteyn.n.01,English dancer who danced with Rudolf Nureyev (born in 1919)
ford.n.06,United States manufacturer of automobiles who pioneered mass production (1863-1947)
ford.n.04,English writer and editor (1873-1939)
ford.n.01,United States film maker (1896-1973)
forester.n.01,English writer of adventure novels featuring Captain Horatio Hornblower (1899-1966)
fosbury.n.01,United States athlete who revolutionized the high jump by introducing the Fosbury flop in the 1968 Olympics (born in 1947)
foster.n.01,United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
foucault.n.01,French physicist who determined the speed of light and showed that it travels slower in water than in air; invented the Foucault pendulum and the gyroscope (1819-1868)
fourier.n.02,French sociologist and reformer who hoped to achieve universal harmony by reorganizing society (1772-1837)
fourier.n.01,French mathematician who developed Fourier analysis and studied the conduction of heat (1768-1830)
fowler.n.01,English lexicographer who wrote a well-known book on English usage (1858-1933)
fox.n.05,English religious leader who founded the Society of Friends (1624-1691)
fox.n.04,English statesman who supported American independence and the French Revolution (1749-1806)
fragonard.n.01,French artist whose rococo paintings typified the frivolity of life in the royal court of France in the 18th century (1732-1806)
france.n.02,French writer of sophisticated novels and short stories (1844-1924)
franck.n.02,United States physicist (born in Germany) who with Gustav Hertz performed an electron scattering experiment that proved the existence of the stationary energy states postulated by Niels Bohr (1882-1964)
franck.n.01,French composer and teacher who influenced a generation of composers (1822-1890)
franco.n.01,Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975)
franklin.n.01,United States historian noted for studies of Black American history (born in 1915)
frazer.n.01,English social anthropologist noted for studies of primitive religion and magic (1854-1941)
frederick_i.n.02,Holy Roman Emperor from 1152 to 1190; conceded supremacy to the pope; drowned leading the Third Crusade (1123-1190)
fremont.n.01,United States explorer who mapped much of the American west and Northwest (1813-1890)
french.n.03,United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)
fresnel.n.01,French physicist who invented polarized light and invented the Fresnel lens (1788-1827)
freud.n.01,Austrian neurologist who originated psychoanalysis (1856-1939)
frick.n.01,United States industrialist who amassed a fortune in the steel industry (1849-1919)
friedan.n.01,United States feminist who founded a national organization for women (born in 1921)
friedman.n.01,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912)
frisch.n.03,Austrian zoologist noted for his studies of honeybees (1886-1982)
frisch.n.02,Norwegian economist noted for his work in econometrics (1895-1973)
frisch.n.01,British physicist (born in Austria) who with Lise Meitner recognized that Otto Hahn had produced a new kind of nuclear reaction which they named nuclear fission; Frisch described the explosive potential of a chain nuclear reaction (1904-1979)
frobisher.n.01,English explorer who led an expedition in search of the Northwest Passage to the orient; served under Drake and helped defeat the Spanish Armada (1535-1594)
froebel.n.01,German educator who founded the kindergarten system (1782-1852)
frost.n.04,United States poet famous for his lyrical poems on country life in New England (1874-1963)
fry.n.02,English dramatist noted for his comic verse dramas (born 1907)
fry.n.01,English painter and art critic (1866-1934)
frye.n.01,Canadian literary critic interested in the use of myth and symbolism (1912-1991)
fuchs.n.01,British physicist who was born in Germany and fled Nazi persecution; in the 1940s he passed secret information to the USSR about the development of the atom bomb in the United States (1911-1988)
fuentes.n.01,Mexican novelist (born in 1928)
fugard.n.01,South African playwright whose plays feature the racial tensions in South Africa during apartheid (born in 1932)
fulbright.n.01,United States senator who is remembered for his creation of grants that fund exchange programs of teachers and students between the United States and other countries (1905-1995)
fuller.n.02,United States architect who invented the geodesic dome (1895-1983)
fuller.n.01,United States jurist and chief justice of the United States Supreme Court (1833-1910)
fulton.n.01,American inventor who designed the first commercially successful steamboat and the first steam warship (1765-1815)
funk.n.02,United States biochemist (born in Poland) who showed that several diseases were caused by dietary deficiencies and who coined the term `vitamin' for the chemicals involved (1884-1967)
furnivall.n.01,English philologist who first proposed the Oxford English Dictionary (1825-1910)
gable.n.02,United States film actor (1901-1960)
gabor.n.01,British physicist (born in Hungary) noted for his work on holography (1900-1979)
gaboriau.n.01,French writer considered by some to be a founder of the detective novel (1832-1873)
gagarin.n.01,Soviet cosmonaut who in 1961 was the first person to travel in space (1934-1968)
gainsborough.n.01,English portrait and landscape painter (1727-1788)
galbraith.n.01,United States economist (born in Canada) who served as ambassador to India (born in 1908)
galen.n.01,Greek anatomist whose theories formed the basis of European medicine until the Renaissance (circa 130-200)
galileo.n.01,Italian astronomer and mathematician who was the first to use a telescope to study the stars; demonstrated that different weights descend at the same rate; perfected the refracting telescope that enabled him to make many discoveries (1564-1642)
gallaudet.n.01,United States educator who established the first free school in the United States for the hearing impaired (1787-1851)
galois.n.01,French mathematician who described the conditions for solving polynomial equations; was killed in a duel at the age of 21 (1811-1832)
galsworthy.n.01,English novelist (1867-1933)
galton.n.01,"English scientist (cousin of Charles Darwin) who explored many fields including heredity, meteorology, statistics, psychology, and anthropology; founder of eugenics and first to use fingerprints for identification (1822-1911)"
galvani.n.01,Italian physiologist noted for his discovery that frogs' muscles contracted in an electric field (which led to the galvanic cell) (1737-1798)
gamow.n.01,United States physicist (born in Russia) who was a proponent of the big-bang theory and who did research in radioactivity and suggested the triplet code for DNA (1904-1968)
garbo.n.01,United States film actress (born in Sweden) known for her reclusiveness (1905-1990)
garcia_lorca.n.01,Spanish poet and dramatist who was shot dead by Franco's soldiers soon after the start of the Spanish Civil War (1898-1936)
gardiner.n.01,British historian remembered for his ten-volume history of England (1829-1902)
gardner.n.01,United States collector and patron of art who built a museum in Boston to house her collection and opened it to the public in 1903 (1840-1924)
garibaldi.n.01,Italian patriot whose conquest of Sicily and Naples led to the formation of the Italian state (1807-1882)
garland.n.01,United States singer and film actress (1922-1969)
garnier.n.01,French architect (1825-1898)
garrick.n.01,English actor and theater manager who was the foremost Shakespearean actor of his day (1717-1779)
garrison.n.02,United States abolitionist who published an anti-slavery journal (1805-1879)
gaskell.n.01,English writer who is remembered for her biography of Charlotte Bronte (1810-1865)
gates.n.01,United States computer entrepreneur whose software company made him the youngest multi-billionaire in the history of the United States (born in 1955)
gatling.n.01,United States inventor of the first rapid firing gun (1818-1903)
gaudi.n.01,Spanish architect who was a leading exponent of art nouveau in Europe (1852-1926)
gauguin.n.01,French Post-impressionist painter who worked in the South Pacific (1848-1903)
gauss.n.02,German mathematician who developed the theory of numbers and who applied mathematics to electricity and magnetism and astronomy and geodesy (1777-1855)
gay-lussac.n.01,French chemist and physicist who first isolated boron and who formulated the law describing the behavior of gases under constant pressure (1778-1850)
geiger.n.01,German physicist who developed the Geiger counter (1882-1945)
geisel.n.01,United States writer of children's books (1904-1991)
gell-mann.n.01,United States physicist noted for his studies of subatomic particles (born in 1929)
genet.n.02,French writer of novels and dramas for the theater of the absurd (1910-1986)
genet.n.01,French diplomat who in 1793 tried to draw the United States into the war between France and England (1763-1834)
genghis_khan.n.01,Mongolian emperor whose empire stretched from the Black Sea to the Pacific Ocean (1162-1227)
geoffrey_of_monmouth.n.01,Welsh chronicler who wrote an account of the kings of Britain which is now believed to contain little historical fact but it is a source of the Arthurian legend (circa 1100-1154)
george.n.07,Elector of Hanover and the first Hanoverian King of Great Britain and Ireland from 1714 to 1727 (1660-1727)
george.n.06,King of Great Britain and Elector of Hanover from 1727 to 1760 (1683-1760)
george.n.05,King of Great Britain and Ireland from 1760 to 1820; the American colonies were lost during his reign; he became insane in 1811 and his son (later George IV) acted as regent until 1820 (1738-1820)
george.n.04,King of Great Britain and Ireland and Hanover from 1820 to 1830; his attempt to divorce his estranged wife undermined the prestige of the Crown (1762-1830)
george.n.03,King of Great Britain and Ireland and emperor of India from 1910 to 1936; gave up his German title in 1917 during World War I (1865-1936)
george.n.02,King of Great Britain and Ireland and emperor of India from 1936 to 1947; he succeeded Edward VIII (1895-1952)
george.n.01,Christian martyr; patron saint of England; hero of the legend of Saint George and the Dragon in which he slew a dragon and saved a princess (?-303)
geronimo.n.01,Apache chieftain who raided the white settlers in the Southwest as resistance to being confined to a reservation (1829-1909)
gershwin.n.02,United States composer who incorporated jazz into classical forms and composed scores for musical comedies (1898-1937)
gershwin.n.01,United States lyricist who frequently collaborated with his brother George Gershwin (1896-1983)
gesell.n.01,United States psychologist noted for his work in child development (1880-1961)
gesner.n.01,Swiss naturalist who was one of the founders of modern zoology (1516-1565)
giacometti.n.01,Swiss sculptor and painter known for his bronze sculptures of elongated figures (1901-1966)
gibbon.n.01,English historian best known for his history of the Roman Empire (1737-1794)
gibbs.n.01,United States chemist (1839-1903)
gibran.n.01,United States writer (born in Lebanon) (1883-1931)
gibson.n.03,United States tennis player who was the first Black woman player to win all the major world singles titles (1927-2003)
gibson.n.02,Australian actor (born in the United States in 1956)
gibson.n.01,United States illustrator remembered for his creation of the `Gibson girl' (1867-1944)
gide.n.01,French author and dramatist who is regarded as the father of modern French literature (1869-1951)
gielgud.n.01,English actor of Shakespearean roles who was also noted for appearances in films (1904-2000)
gilbert.n.05,United States architect who influenced the development of the skyscraper (1859-1934)
gilbert.n.04,English navigator who in 1583 established in Newfoundland the first English colony in North America (1539-1583)
gilbert.n.03,English court physician noted for his studies of terrestrial magnetism (1540-1603)
gillespie.n.01,United States jazz trumpeter and exponent of bebop (1917-1993)
gillette.n.01,United States inventor and manufacturer who developed the safety razor (1855-1932)
gilman.n.01,United States feminist (1860-1935)
gilmer.n.01,United States journalist who wrote a syndicated column of advice to the lovelorn (1870-1951)
ginsberg.n.01,United States poet of the beat generation (1926-1997)
giotto.n.01,Florentine painter who gave up the stiff Byzantine style and developed a more naturalistic style; considered the greatest Italian painter prior to the Renaissance (1267-1337)
girard.n.01,United States financier (born in France) who helped finance the War of 1812 (1750-1831)
giraudoux.n.01,French novelist and dramatist whose plays were reinterpretations of Greek myths (1882-1944)
gish.n.01,United States film actress who appeared in films by D. W. Griffith (1896-1993)
gjellerup.n.01,Danish novelist (1857-1919)
glaser.n.01,United States physicist who invented the bubble chamber to study subatomic particles (born in 1926)
glendower.n.01,Welsh chieftain who led a revolt against Henry IV's rule in Wales (1359-1416)
glinka.n.01,Russian composer (1804-1857)
gluck.n.01,German composer of more than 100 operas (1714-1787)
godard.n.01,French film maker influenced by surrealism; early work explored the documentary use of film; noted for innovative techniques (born in 1930)
goddard.n.01,United States physicist who developed the first successful liquid-fueled rocket (1882-1945)
godel.n.01,United States mathematician (born in Austria) who is remembered principally for demonstrating the limitations of axiomatic systems (1906-1978)
goebbels.n.01,German propaganda minister in Nazi Germany who persecuted the Jews (1897-1945)
goethals.n.01,United States army officer and engineer who supervised the construction of the Panama Canal (1858-1928)
goethe.n.01,German poet and novelist and dramatist who lived in Weimar (1749-1832)
