Root,Root_Definition,Synset,Synset_Definition,Language,Form,Database
esu-s : su-,able,able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,English,a,Wordnet
esu-s : su-,able,able,having inherent physical or mental ability or capacity,English,s,Wordnet
esu-s : su-,able,able,have the skills and qualifications to do things well,English,s,Wordnet
esu-s : su-,able,good,thorough,English,s,Wordnet
esu-s : su-,able,good,generally admired,English,s,Wordnet
esu-s : su-,able,able,having a strong healthy body,English,s,Wordnet
esu-s : su-,able,good,resulting favorably,English,s,Wordnet
esu-s : su-,able,good,not left to spoil,English,s,Wordnet
esu-s : su-,able,good,not forged,English,s,Wordnet
esu-s : su-,able,good,having desirable or positive qualities especially those suitable for a thing specified,English,a,Wordnet
esu-s : su-,able,good,morally admirable,English,a,Wordnet
esu-s : su-,able,good,tending to promote physical well-being; beneficial to health,English,s,Wordnet
esu-s : su-,able,good,in excellent physical condition,English,s,Wordnet
esu-s : su-,able,good,appealing to the mind,English,s,Wordnet
esu-s : su-,able,good,agreeable or pleasing,English,s,Wordnet
esu-s : su-,able,good,most suitable or right for a particular purpose,English,s,Wordnet
esu-s : su-,able,good,capable of pleasing,English,s,Wordnet
esu-s : su-,able,good,of moral excellence,English,s,Wordnet
esu-s : su-,able,good,moral excellence or admirableness,English,n,Wordnet
esu-s : su-,able,good,that which is pleasing or valuable or useful,English,n,Wordnet
esu-s : su-,able,good,benefit,English,n,Wordnet
neḱ-,dying,dying,in or associated with the process of passing from life or ceasing to be,English,a,Wordnet
neḱ-,dying,death,the act of killing,English,n,Wordnet
neḱ-,dying,death,the event of dying or departure from life,English,n,Wordnet
neḱ-,dying,death,the personification of death,English,n,Wordnet
neḱ-,dying,death,the permanent end of all life functions in an organism or part of an organism,English,n,Wordnet
neḱ-,dying,death,the absence of life or state of being dead,English,n,Wordnet
neḱ-,dying,death,the time at which life ends; continuing until dead,English,n,Wordnet
neḱ-,dying,death,the time when something ends,English,n,Wordnet
2.*(s)ker-{1},trim,cut,with parts removed,English,s,Wordnet
2.*(s)ker-{1},trim,cut,separated into parts or laid open or penetrated with a sharp edge or instrument,English,a,Wordnet
2.*(s)ker-{1},trim,cut,(of pages of a book) having the folds of the leaves trimmed or slit,English,a,Wordnet
2.*(s)ker-{1},trim,cut,fashioned or shaped by cutting,English,a,Wordnet
2.*(s)ker-{1},trim,cut,mixed with water,English,s,Wordnet
2.*(s)ker-{1},trim,cut,(used of rates or prices) reduced usually sharply,English,s,Wordnet
2.*(s)ker-{1},trim,cut,(of a male animal) having the testicles removed,English,s,Wordnet
2.*(s)ker-{1},trim,cut,an unexcused absence from class,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the act of reducing the amount or number,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the act of shortening something by chopping off the ends,English,n,Wordnet
2.*(s)ker-{1},trim,trim,cutting down to the desired size or shape,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the act of cutting something into parts,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the act of penetrating or opening open with a sharp edge,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the division of a deck of cards before dealing,English,n,Wordnet
2.*(s)ker-{1},trim,cut,(sports) a stroke that puts reverse spin on the ball,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a trench resembling a furrow that was made by erosion or excavation,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a canal made by erosion or excavation,English,n,Wordnet
2.*(s)ker-{1},trim,scratch,an indication of damage,English,n,Wordnet
2.*(s)ker-{1},trim,scratch,(golf) a handicap of zero strokes,English,n,Wordnet
2.*(s)ker-{1},trim,cut,the style in which a garment is cut,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a distinct selection of music from a recording or a compact disc,English,n,Wordnet
2.*(s)ker-{1},trim,cut,(film) an immediate transition from one shot to the next,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a piece of meat that has been cut from an animal carcass,English,n,Wordnet
2.*(s)ker-{1},trim,scratch,a competitor who has withdrawn from competition,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a share of the profits,English,n,Wordnet
2.*(s)ker-{1},trim,trim,attitude of an aircraft in flight when allowed to take its own orientation,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a wound made by cutting,English,n,Wordnet
2.*(s)ker-{1},trim,cut,a step on some scale,English,n,Wordnet
2.*(s)ker-{1},trim,trim,a state of arrangement or appearance,English,n,Wordnet
2.*(s)ker-{1},trim,cut,grow through the gums,English,v,Wordnet
2.*(s)ker-{1},trim,cut,have grow through the gums,English,v,Wordnet
2.*(s)ker-{1},trim,cut,"cease, stop",English,v,Wordnet
2.*(s)ker-{1},trim,trim,adjust (sails on a ship) so that the wind is optimally used,English,v,Wordnet
2.*(s)ker-{1},trim,cut,have a reducing effect,English,v,Wordnet
2.*(s)ker-{1},trim,cut,dissolve by breaking down the fat of,English,v,Wordnet
2.*(s)ker-{1},trim,cut,weed out unwanted or unnecessary things,English,v,Wordnet
2.*(s)ker-{1},trim,cut,shorten as if by severing the edges or ends of,English,v,Wordnet
2.*(s)ker-{1},trim,cut,penetrate injuriously,English,v,Wordnet
2.*(s)ker-{1},trim,scratch,cut the surface of; wear away the surface of,English,v,Wordnet
2.*(s)ker-{1},trim,cut,fell by sawing; hew,English,v,Wordnet
2.*(s)ker-{1},trim,cut,reap or harvest,English,v,Wordnet
2.*(s)ker-{1},trim,scratch,"carve, cut, or etch into a material or surface",English,v,Wordnet
2.*(s)ker-{1},trim,cut,hit (a ball) with a spin so that it turns in the opposite direction,English,v,Wordnet
2.*(s)ker-{1},trim,cut,separate with or as if with an instrument,English,v,Wordnet
2.*(s)ker-{1},trim,cut,divide a deck of cards at random into two parts to make selection difficult,English,v,Wordnet
2.*(s)ker-{1},trim,cut,make an incision or separation,English,v,Wordnet
2.*(s)ker-{1},trim,cut,allow incision or separation,English,v,Wordnet
2.*(s)ker-{1},trim,cut,function as a cutting instrument,English,v,Wordnet
2.*(s)ker-{1},trim,cut,style and tailor in a certain fashion,English,v,Wordnet
2.*(s)ker-{1},trim,trim,"decorate (food), as with parsley or other ornamental foods",English,v,Wordnet
2.*(s)ker-{1},trim,trim,"decorate, as with ornaments",English,v,Wordnet
2.*(s)ker-{1},trim,cut,perform or carry out,English,v,Wordnet
2.*(s)ker-{1},trim,cut,form or shape by cutting or incising,English,v,Wordnet
2.*(s)ker-{1},trim,cut,"form by probing, penetrating, or digging",English,v,Wordnet
2.*(s)ker-{1},trim,cut,create by duplicating data,English,v,Wordnet
2.*(s)ker-{1},trim,cut,record a performance on (a medium),English,v,Wordnet
2.*(s)ker-{1},trim,cut,make a recording of,English,v,Wordnet
2.*(s)ker-{1},trim,cut,stop filming,English,v,Wordnet
2.*(s)ker-{1},trim,cut,make an abrupt change of image or sound,English,v,Wordnet
2.*(s)ker-{1},trim,cut,pass through or across,English,v,Wordnet
2.*(s)ker-{1},trim,cut,pass directly and often in haste,English,v,Wordnet
2.*(s)ker-{1},trim,cut,move (one's fist),English,v,Wordnet
2.*(s)ker-{1},trim,cut,give the appearance or impression of,English,v,Wordnet
2.*(s)ker-{1},trim,cut,discharge from a group,English,v,Wordnet
2.*(s)ker-{1},trim,cut,intentionally fail to attend,English,v,Wordnet
2.*(s)ker-{1},trim,trim,be in equilibrium during a flight,English,v,Wordnet
2.*(s)ker-{1},trim,trim,balance in flight by regulating the control surfaces,English,v,Wordnet
2.*tend-{1},cut,cut,with parts removed,English,s,Wordnet
2.*tend-{1},cut,cut,separated into parts or laid open or penetrated with a sharp edge or instrument,English,a,Wordnet
2.*tend-{1},cut,split,(especially of wood) cut or ripped longitudinally with the grain,English,s,Wordnet
2.*tend-{1},cut,cut,(of pages of a book) having the folds of the leaves trimmed or slit,English,a,Wordnet
2.*tend-{1},cut,cut,fashioned or shaped by cutting,English,a,Wordnet
2.*tend-{1},cut,cut,mixed with water,English,s,Wordnet
2.*tend-{1},cut,cut,(used of rates or prices) reduced usually sharply,English,s,Wordnet
2.*tend-{1},cut,cut,(of a male animal) having the testicles removed,English,s,Wordnet
2.*tend-{1},cut,cut,an unexcused absence from class,English,n,Wordnet
2.*tend-{1},cut,cut,the act of reducing the amount or number,English,n,Wordnet
2.*tend-{1},cut,cut,the act of shortening something by chopping off the ends,English,n,Wordnet
2.*tend-{1},cut,cut,the act of cutting something into parts,English,n,Wordnet
2.*tend-{1},cut,cut,the act of penetrating or opening open with a sharp edge,English,n,Wordnet
2.*tend-{1},cut,split,extending the legs at right angles to the trunk (one in front and the other in back),English,n,Wordnet
2.*tend-{1},cut,split,an increase in the number of outstanding shares of a corporation without changing the shareholders' equity,English,n,Wordnet
2.*tend-{1},cut,cut,the division of a deck of cards before dealing,English,n,Wordnet
2.*tend-{1},cut,cut,(sports) a stroke that puts reverse spin on the ball,English,n,Wordnet
2.*tend-{1},cut,cut,a trench resembling a furrow that was made by erosion or excavation,English,n,Wordnet
2.*tend-{1},cut,cut,a canal made by erosion or excavation,English,n,Wordnet
2.*tend-{1},cut,split,(tenpin bowling) a divided formation of pins left standing after the first bowl,English,n,Wordnet
2.*tend-{1},cut,cut,the style in which a garment is cut,English,n,Wordnet
2.*tend-{1},cut,cut,a distinct selection of music from a recording or a compact disc,English,n,Wordnet
2.*tend-{1},cut,cut,(film) an immediate transition from one shot to the next,English,n,Wordnet
2.*tend-{1},cut,split,a dessert of sliced fruit and ice cream covered with whipped cream and cherries and nuts,English,n,Wordnet
2.*tend-{1},cut,cut,a piece of meat that has been cut from an animal carcass,English,n,Wordnet
2.*tend-{1},cut,split,an old Croatian city on the Adriatic Sea,English,n,Wordnet
2.*tend-{1},cut,split,a lengthwise crack in wood,English,n,Wordnet
2.*tend-{1},cut,split,a promised or claimed share of loot or money,English,n,Wordnet
2.*tend-{1},cut,cut,a share of the profits,English,n,Wordnet
2.*tend-{1},cut,split,a bottle containing half the usual amount,English,n,Wordnet
2.*tend-{1},cut,cut,a wound made by cutting,English,n,Wordnet
2.*tend-{1},cut,cut,a step on some scale,English,n,Wordnet
2.*tend-{1},cut,cut,grow through the gums,English,v,Wordnet
2.*tend-{1},cut,cut,have grow through the gums,English,v,Wordnet
2.*tend-{1},cut,cut,"cease, stop",English,v,Wordnet
2.*tend-{1},cut,cut,have a reducing effect,English,v,Wordnet
2.*tend-{1},cut,cut,dissolve by breaking down the fat of,English,v,Wordnet
2.*tend-{1},cut,cut,weed out unwanted or unnecessary things,English,v,Wordnet
2.*tend-{1},cut,cut,shorten as if by severing the edges or ends of,English,v,Wordnet
2.*tend-{1},cut,cut,penetrate injuriously,English,v,Wordnet
2.*tend-{1},cut,cut,fell by sawing; hew,English,v,Wordnet
2.*tend-{1},cut,cut,reap or harvest,English,v,Wordnet
2.*tend-{1},cut,cut,hit (a ball) with a spin so that it turns in the opposite direction,English,v,Wordnet
2.*tend-{1},cut,cut,separate with or as if with an instrument,English,v,Wordnet
2.*tend-{1},cut,cut,divide a deck of cards at random into two parts to make selection difficult,English,v,Wordnet
2.*tend-{1},cut,cut,make an incision or separation,English,v,Wordnet
2.*tend-{1},cut,cut,allow incision or separation,English,v,Wordnet
2.*tend-{1},cut,cut,function as a cutting instrument,English,v,Wordnet
2.*tend-{1},cut,cut,style and tailor in a certain fashion,English,v,Wordnet
2.*tend-{1},cut,cut,perform or carry out,English,v,Wordnet
2.*tend-{1},cut,cut,form or shape by cutting or incising,English,v,Wordnet
2.*tend-{1},cut,cut,"form by probing, penetrating, or digging",English,v,Wordnet
2.*tend-{1},cut,cut,create by duplicating data,English,v,Wordnet
2.*tend-{1},cut,cut,record a performance on (a medium),English,v,Wordnet
2.*tend-{1},cut,cut,make a recording of,English,v,Wordnet
2.*tend-{1},cut,cut,stop filming,English,v,Wordnet
2.*tend-{1},cut,cut,make an abrupt change of image or sound,English,v,Wordnet
2.*tend-{1},cut,cut,pass through or across,English,v,Wordnet
2.*tend-{1},cut,cut,pass directly and often in haste,English,v,Wordnet
2.*tend-{1},cut,cut,move (one's fist),English,v,Wordnet
2.*tend-{1},cut,cut,give the appearance or impression of,English,v,Wordnet
2.*tend-{1},cut,cut,discharge from a group,English,v,Wordnet
2.*tend-{1},cut,cut,intentionally fail to attend,English,v,Wordnet
3. bʰer-,use sharp tool,cut,with parts removed,English,s,Wordnet
3. bʰer-,use sharp tool,cut,separated into parts or laid open or penetrated with a sharp edge or instrument,English,a,Wordnet
3. bʰer-,use sharp tool,cut,(of pages of a book) having the folds of the leaves trimmed or slit,English,a,Wordnet
3. bʰer-,use sharp tool,cut,fashioned or shaped by cutting,English,a,Wordnet
3. bʰer-,use sharp tool,cut,mixed with water,English,s,Wordnet
3. bʰer-,use sharp tool,cut,(used of rates or prices) reduced usually sharply,English,s,Wordnet
3. bʰer-,use sharp tool,cut,(of a male animal) having the testicles removed,English,s,Wordnet
3. bʰer-,use sharp tool,cut,an unexcused absence from class,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the act of reducing the amount or number,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the act of shortening something by chopping off the ends,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the act of cutting something into parts,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the act of penetrating or opening open with a sharp edge,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the division of a deck of cards before dealing,English,n,Wordnet
3. bʰer-,use sharp tool,cut,(sports) a stroke that puts reverse spin on the ball,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a trench resembling a furrow that was made by erosion or excavation,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a canal made by erosion or excavation,English,n,Wordnet
3. bʰer-,use sharp tool,cut,the style in which a garment is cut,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a distinct selection of music from a recording or a compact disc,English,n,Wordnet
3. bʰer-,use sharp tool,cut,(film) an immediate transition from one shot to the next,English,n,Wordnet
3. bʰer-,use sharp tool,scrape,a deep bow with the foot drawn backwards (indicating excessive humility),English,n,Wordnet
3. bʰer-,use sharp tool,scrape,a harsh noise made by scraping,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a piece of meat that has been cut from an animal carcass,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a share of the profits,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a wound made by cutting,English,n,Wordnet
3. bʰer-,use sharp tool,cut,a step on some scale,English,n,Wordnet
3. bʰer-,use sharp tool,cut,grow through the gums,English,v,Wordnet
3. bʰer-,use sharp tool,cut,have grow through the gums,English,v,Wordnet
3. bʰer-,use sharp tool,cut,"cease, stop",English,v,Wordnet
3. bʰer-,use sharp tool,cut,have a reducing effect,English,v,Wordnet
3. bʰer-,use sharp tool,cut,dissolve by breaking down the fat of,English,v,Wordnet
3. bʰer-,use sharp tool,cut,weed out unwanted or unnecessary things,English,v,Wordnet
3. bʰer-,use sharp tool,cut,shorten as if by severing the edges or ends of,English,v,Wordnet
3. bʰer-,use sharp tool,cut,penetrate injuriously,English,v,Wordnet
3. bʰer-,use sharp tool,scrape,scratch repeatedly,English,v,Wordnet
3. bʰer-,use sharp tool,cut,fell by sawing; hew,English,v,Wordnet
3. bʰer-,use sharp tool,cut,reap or harvest,English,v,Wordnet
3. bʰer-,use sharp tool,scrape,gather (money or other resources) together over time,English,v,Wordnet
3. bʰer-,use sharp tool,cut,hit (a ball) with a spin so that it turns in the opposite direction,English,v,Wordnet
3. bʰer-,use sharp tool,cut,separate with or as if with an instrument,English,v,Wordnet
3. bʰer-,use sharp tool,cut,divide a deck of cards at random into two parts to make selection difficult,English,v,Wordnet
3. bʰer-,use sharp tool,cut,make an incision or separation,English,v,Wordnet
3. bʰer-,use sharp tool,cut,allow incision or separation,English,v,Wordnet
3. bʰer-,use sharp tool,cut,function as a cutting instrument,English,v,Wordnet
3. bʰer-,use sharp tool,cut,style and tailor in a certain fashion,English,v,Wordnet
3. bʰer-,use sharp tool,cut,perform or carry out,English,v,Wordnet
3. bʰer-,use sharp tool,scrape,make by scraping,English,v,Wordnet
3. bʰer-,use sharp tool,cut,form or shape by cutting or incising,English,v,Wordnet
3. bʰer-,use sharp tool,cut,"form by probing, penetrating, or digging",English,v,Wordnet
3. bʰer-,use sharp tool,cut,create by duplicating data,English,v,Wordnet
3. bʰer-,use sharp tool,cut,record a performance on (a medium),English,v,Wordnet
3. bʰer-,use sharp tool,cut,make a recording of,English,v,Wordnet
3. bʰer-,use sharp tool,cut,stop filming,English,v,Wordnet
3. bʰer-,use sharp tool,cut,make an abrupt change of image or sound,English,v,Wordnet
3. bʰer-,use sharp tool,cut,pass through or across,English,v,Wordnet
3. bʰer-,use sharp tool,cut,pass directly and often in haste,English,v,Wordnet
3. bʰer-,use sharp tool,scrape,bend the knees and bow in a servile manner,English,v,Wordnet
3. bʰer-,use sharp tool,cut,move (one's fist),English,v,Wordnet
3. bʰer-,use sharp tool,cut,give the appearance or impression of,English,v,Wordnet
3. bʰer-,use sharp tool,cut,discharge from a group,English,v,Wordnet
3. bʰer-,use sharp tool,cut,intentionally fail to attend,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,with parts removed,English,s,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,separated into parts or laid open or penetrated with a sharp edge or instrument,English,a,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,(of pages of a book) having the folds of the leaves trimmed or slit,English,a,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,fashioned or shaped by cutting,English,a,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,mixed with water,English,s,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,(used of rates or prices) reduced usually sharply,English,s,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,(of a male animal) having the testicles removed,English,s,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,an unexcused absence from class,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the act of reducing the amount or number,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the act of shortening something by chopping off the ends,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the act of cutting something into parts,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the act of penetrating or opening open with a sharp edge,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the division of a deck of cards before dealing,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,(sports) a stroke that puts reverse spin on the ball,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a trench resembling a furrow that was made by erosion or excavation,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a canal made by erosion or excavation,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,the style in which a garment is cut,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a distinct selection of music from a recording or a compact disc,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,(film) an immediate transition from one shot to the next,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a piece of meat that has been cut from an animal carcass,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,14th President of the United States (1804-1869),English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a share of the profits,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a wound made by cutting,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,a step on some scale,English,n,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,grow through the gums,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,have grow through the gums,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,"cease, stop",English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,have a reducing effect,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,dissolve by breaking down the fat of,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,weed out unwanted or unnecessary things,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,shorten as if by severing the edges or ends of,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,penetrate injuriously,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,fell by sawing; hew,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,reap or harvest,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,hit (a ball) with a spin so that it turns in the opposite direction,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,make a hole into,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,penetrate or cut through with a sharp instrument,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,cut or make a way through,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,separate with or as if with an instrument,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,divide a deck of cards at random into two parts to make selection difficult,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,make an incision or separation,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,allow incision or separation,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,function as a cutting instrument,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,style and tailor in a certain fashion,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,perform or carry out,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,form or shape by cutting or incising,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,"form by probing, penetrating, or digging",English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,create by duplicating data,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,record a performance on (a medium),English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,make a recording of,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,move or affect (a person's emotions or bodily feelings) deeply or sharply,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,stop filming,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,make an abrupt change of image or sound,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,pass through or across,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,pass directly and often in haste,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,move (one's fist),English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,give the appearance or impression of,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,pierce,sound sharply or shrilly,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,discharge from a group,English,v,Wordnet
"1. bʰrē̆u-, bʰrū̆-",cut,cut,intentionally fail to attend,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,with parts removed,English,s,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,separated into parts or laid open or penetrated with a sharp edge or instrument,English,a,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,(especially of wood) cut or ripped longitudinally with the grain,English,s,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,(of pages of a book) having the folds of the leaves trimmed or slit,English,a,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,fashioned or shaped by cutting,English,a,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,mixed with water,English,s,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,(used of rates or prices) reduced usually sharply,English,s,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,(of a male animal) having the testicles removed,English,s,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,an unexcused absence from class,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the act of reducing the amount or number,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the act of shortening something by chopping off the ends,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the act of cutting something into parts,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the act of penetrating or opening open with a sharp edge,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,extending the legs at right angles to the trunk (one in front and the other in back),English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,an increase in the number of outstanding shares of a corporation without changing the shareholders' equity,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the division of a deck of cards before dealing,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,(sports) a stroke that puts reverse spin on the ball,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a trench resembling a furrow that was made by erosion or excavation,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a canal made by erosion or excavation,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,(tenpin bowling) a divided formation of pins left standing after the first bowl,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,the style in which a garment is cut,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a distinct selection of music from a recording or a compact disc,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,(film) an immediate transition from one shot to the next,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,a dessert of sliced fruit and ice cream covered with whipped cream and cherries and nuts,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a piece of meat that has been cut from an animal carcass,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,an old Croatian city on the Adriatic Sea,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,a lengthwise crack in wood,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,a promised or claimed share of loot or money,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a share of the profits,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,split,a bottle containing half the usual amount,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a wound made by cutting,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,a step on some scale,English,n,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,grow through the gums,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,have grow through the gums,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,"cease, stop",English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,have a reducing effect,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,dissolve by breaking down the fat of,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,weed out unwanted or unnecessary things,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,shorten as if by severing the edges or ends of,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,penetrate injuriously,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,fell by sawing; hew,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,reap or harvest,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,hit (a ball) with a spin so that it turns in the opposite direction,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,separate with or as if with an instrument,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,divide a deck of cards at random into two parts to make selection difficult,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,make an incision or separation,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,allow incision or separation,English,v,Wordnet
"2. er(e)k-, rek-, rok-",to tear,cut,function as a cutting instrument,English,v,Wordnet
